"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag"
"22744","proceedings of the 1st workshop on viewbased, aspectoriented and orthographic software modelling, vao 2013",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22745","notarzt",NA,0,NA,NA,"0.129","8","0.318","6e-05",NA
"22746","2013 ieee international conference on signal processing, communications and computing, icspcc 2013",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22747","nervenheilkunde",NA,0,NA,NA,"0.129","15",NA,NA,NA
"22748","international journal of human genetics",NA,0,NA,NA,"0.129","8","0.278","1e-04",NA
"22749","2013 international conference on information science and applications, icisa 2013",NA,0,NA,NA,"0.129","6",NA,NA,NA
"22750","asian journal of applied sciences",NA,0,NA,NA,"0.129","10",NA,NA,NA
"22751","nihon ringakkai shi/journal of the japanese forestry society",NA,0,NA,NA,"0.129","12",NA,NA,NA
"22752","proceedings  2013 international conference on informatics and creative multimedia, icicm 2013",NA,0,NA,NA,"0.129","6",NA,NA,NA
"22753","journal of classroom interaction",NA,0,NA,NA,"0.129","2",NA,NA,NA
"22754","international journal of interdisciplinary organizational studies",NA,0,NA,NA,"0.129","1",NA,NA,"1"
"22755","webmedia 2014  proceedings of the 20th brazilian symposium on multimedia and the web",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22756","designcon 2014: where the chip meets the board",NA,0,NA,NA,"0.129","2",NA,NA,NA
"22757","2013 ieee conference on wireless sensor, icwise 2013",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22758","korean journal of pediatric infectious diseases",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22759","proceedings  ieee 7th international conference on selfadaptation and selforganizing systems workshops, sasow 2013",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22760","international journal of engineering research in africa",NA,0,NA,NA,"0.129","10",NA,NA,NA
"22761","2013 3rd international conference on consumer electronics, communications and networks, cecnet 2013  proceedings",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22762","caribbean geography",NA,0,NA,NA,"0.129","6",NA,NA,NA
"22763","proceedings  2014 9th international conference on broadband and wireless computing, communication and applications, bwcca 2014",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22764","22nd annual conference of the international group for lean construction: understanding and improving project based production, iglc 2014",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22765","ciencia e tecnologia dos materiais",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22766","green energy and technology",NA,0,NA,NA,"0.129","8",NA,NA,NA
"22767","proceedings of the 4th annual symposium on computing for development, acm dev 2013",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22768","open sports sciences journal",NA,0,NA,NA,"0.129","8",NA,NA,NA
"22769","proceedings  2013 international conference on cyberenabled distributed computing and knowledge discovery, cyberc 2013",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22770","journal of the royal naval medical service",NA,0,NA,NA,"0.129","11",NA,NA,NA
"22771","studies in law politics and society",NA,0,NA,NA,"0.129","6",NA,NA,NA
"22772","sen'i gakkaishi",NA,0,NA,NA,"0.129","15",NA,NA,NA
"22773","hornero",NA,0,NA,NA,"0.129","7",NA,NA,NA
"22774","politica y sociedad",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22775","zeitschrift fur theologie und kirche",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22776","icac 2013  proceedings of the 19th international conference on automation and computing: future energy and automation",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22777","european orthopaedics and traumatology",NA,0,NA,NA,"0.129","7",NA,NA,NA
"22778","transcultural studies",NA,0,NA,NA,"0.129","1",NA,NA,NA
"22779","seminars in colon and rectal surgery",NA,0,NA,NA,"0.129","11",NA,NA,NA
"22780","medijska istrazivanja",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22781","earthen architecture: past, present and future  proceedings of the international conference on vernacular heritage, sustainability and earthen architecture",NA,0,NA,NA,"0.129","2",NA,NA,NA
"22782","portugese studies",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22783","arab law quarterly",NA,0,NA,NA,"0.129","9",NA,NA,NA
"22784","berichte zur wissenschaftsgeschichte",NA,0,NA,NA,"0.129","5","0.125","6e-05",NA
"22785","resilience and urban risk management  proceedings of the conference 'how the concept of resilience is able to improve urban risk management? a temporal and a spatial analysis'",NA,0,NA,NA,"0.129","2",NA,NA,NA
"22786","advances in integrative medicine",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22787","equilibrium research",NA,0,NA,NA,"0.129","11",NA,NA,NA
"22788","soviet physics journal (english translation of izvestiia vysshykh uchebnykh zavedenii, fizika)",NA,0,NA,NA,"0.129","6",NA,NA,NA
"22789","proceedings of 2014 international conference on mechanical engineering, automation and control systems, meacs 2014",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22790","healthcare financial management",NA,0,NA,NA,"0.129","16",NA,NA,NA
"22791","journal de pharmacie clinique",NA,0,NA,NA,"0.129","14",NA,NA,NA
"22792","asian academy of management journal",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22793","proceedings of the 13th world confernece of acuus: advances in underground space development, acuus 2012",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22794","membrane technology",NA,0,NA,NA,"0.129","17",NA,NA,NA
"22795","revue francophone des laboratoires",NA,0,NA,NA,"0.129","7",NA,NA,NA
"22796","2015 international conference on electronic design, computer networks and automated verification, edcav 2015",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22797","estudios geograficos",NA,0,NA,NA,"0.128","7",NA,NA,NA
"22798","current trends in biotechnology and pharmacy",NA,0,NA,NA,"0.128","9",NA,NA,NA
"22799","plant health progress",NA,0,NA,NA,"0.128","1",NA,NA,NA
"22800","journal of pediatric biochemistry",NA,0,NA,NA,"0.128","6",NA,NA,NA
"22801","revista de economia del rosario",NA,0,NA,NA,"0.128","3",NA,NA,"1"
"22802","clinical laboratory science",NA,0,NA,NA,"0.128","22",NA,NA,NA
"22803","lester eastman conference 2014  high performance devices, lec 2014",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22804","world of mining  surface and underground",NA,0,NA,NA,"0.128","7",NA,NA,NA
"22805","pravention und rehabilitation",NA,0,NA,NA,"0.128","7",NA,NA,NA
"22806","romanische forschungen",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22807","2013 international conference on control, decision and information technologies, codit 2013",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22808","vnitrni lekarstvi",NA,0,NA,NA,"0.128","16",NA,NA,NA
"22809","revista de historia industrial",NA,0,NA,NA,"0.128","4","0.3","9e-05",NA
"22810","lithuanian foreign policy review",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22811","pathology case reviews",NA,0,NA,NA,"0.128","7",NA,NA,NA
"22812","international journal of biology and biomedical engineering",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22813","conference proceedings  9th conference on ph d research in microelectronics and electronics, prime 2013",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22814","8th annual ieee international conference on nano/micro engineered and molecular systems, ieee nems 2013",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22815","proceedings of 2013 international conference on sensor network security technology and privacy communication system, sns and pcs 2013",NA,0,NA,NA,"0.128","4",NA,NA,NA
"22816","optical fiber communication conference, ofc 2014",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22817","proceedings of the 1st workshop on algorithms and computation 2007, walcom 2007",NA,0,NA,NA,"0.128","1",NA,NA,NA
"22818","iscord 2013: planning for sustainable cold regions  proceedings of the 10th international symposium on cold regions development",NA,0,NA,NA,"0.128","4",NA,NA,NA
"22819","proceedings of the 9th ieee international conference on malicious and unwanted software, malcon 2014",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22820","renaissance studies",NA,0,NA,NA,"0.128","13",NA,NA,NA
"22821","revue medicale suisse",NA,0,NA,NA,"0.128","13",NA,NA,NA
"22822","kriminalistik",NA,0,NA,NA,"0.128","7",NA,NA,NA
"22823","open public health journal",NA,0,NA,NA,"0.128","4",NA,NA,NA
"22824","2013 world congress on computer and information technology, wccit 2013",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22825","journal of communications software and systems",NA,0,NA,NA,"0.128","8",NA,NA,NA
"22826","proceedings  8th international conference on software security and reliability  companion, serec 2014",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22827","japanese pharmacology and therapeutics",NA,0,NA,NA,"0.128","12",NA,NA,NA
"22828","magyar onkologia",NA,0,NA,NA,"0.128","11",NA,NA,NA
"22829","2013 18th international conference on methods and models in automation and robotics, mmar 2013",NA,0,NA,NA,"0.128","8",NA,NA,NA
"22830","university of pittsburgh law review",NA,0,NA,NA,"0.128","12","0.075","0.00025",NA
"22831","nephrologe",NA,0,NA,NA,"0.128","4",NA,NA,NA
"22832","2014 ieee international conference on smart instrumentation, measurement and applications, icsima 2014",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22833","2013 international conference on human computer interactions, ichci 2013",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22834","biography",NA,0,NA,NA,"0.128","15",NA,NA,NA
"22835","catalan journal of communication and cultural studies",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22836","anaesthesia and intensive care medicine",NA,0,NA,NA,"0.128","10",NA,NA,NA
"22837","acta linguistica hafniensia",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22838","advances in molecular toxicology",NA,0,NA,NA,"0.128","10",NA,NA,NA
"22839","2013 8th international conference and exhibition on ecological vehicles and renewable energies, ever 2013",NA,0,NA,NA,"0.128","6",NA,NA,NA
"22840","acta theologica",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22841","obesite",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22842","slovo (leeds)",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22843","2013 1st international workshop on data analysis patterns in software engineering, dapse 2013  proceedings",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22844","international journal of entrepreneurship",NA,0,NA,NA,"0.128","6",NA,NA,"1"
"22845","modernism/modernity",NA,0,NA,NA,"0.128","16",NA,NA,NA
"22846","biblios",NA,0,NA,NA,"0.128","1",NA,NA,NA
"22847","seriousgames 2014  proceedings of the 2014 acm international workshop on serious games, workshop of mm 2014",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22848","african journal of neurological sciences",NA,0,NA,NA,"0.128","8",NA,NA,NA
"22849","australasian journal of disaster and trauma studies",NA,0,NA,NA,"0.128","11",NA,NA,NA
"22850","proceedings  2014 ieee global conference on wireless computing and networking, gcwcn 2014",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22851","international workshop on advanced motion control, amc",NA,0,NA,NA,"0.128","28",NA,NA,NA
"22852","irish geography",NA,0,NA,NA,"0.128","15",NA,NA,NA
"22853","recent patents on computer science",NA,0,NA,NA,"0.128","9",NA,NA,NA
"22854","standardization news",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22855","historical records of australian science",NA,0,NA,NA,"0.128","7","0.074","2e-05",NA
"22856","journal of current glaucoma practice",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22857","berichte uber landwirtschaft",NA,0,NA,NA,"0.128","10","0.314","1e-04","1"
"22858","hygiene + medizin",NA,0,NA,NA,"0.128","11",NA,NA,NA
"22859","usda forest service  research papers pnwrp",NA,0,NA,NA,"0.128","1",NA,NA,NA
"22860","transactions  geothermal resources council",NA,0,NA,NA,"0.128","20",NA,NA,NA
"22861","uist 2013 adjunct  adjunct publication of the 26th annual acm symposium on user interface software and technology",NA,0,NA,NA,"0.128","4",NA,NA,NA
"22862","journal of international business and economics",NA,0,NA,NA,"0.128","1",NA,NA,"1"
"22863","late imperial china = ch'ing shih wen t'i",NA,0,NA,NA,"0.128","10",NA,NA,NA
"22864","proceedings of the 2014 ieee international conference on moocs, innovation and technology in education, ieee mite 2014",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22865","tehran university medical journal",NA,0,NA,NA,"0.128","6",NA,NA,NA
"22866","orthodontic waves",NA,0,NA,NA,"0.128","8",NA,NA,NA
"22867","proceedings  2013 1st international symposium on computing and networking, candar 2013",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22868","tocqueville review/la revue tocqueville",NA,0,NA,NA,"0.128","4",NA,NA,NA
"22869","proceedings of the 23rd conference on the domestic use of energy, due 2015",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22870","journal de la societe des americanistes",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22871","revista de salud publica",NA,0,NA,NA,"0.128","18",NA,NA,NA
"22872","13th international conference on space operations, spaceops 2014",NA,0,NA,NA,"0.128","4",NA,NA,NA
"22873","zeitschrift fur anglistik und amerikanistik",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22874","theatre survey",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22875","journal of medical ultrasound",NA,0,NA,NA,"0.128","12",NA,NA,NA
"22876","german life and letters",NA,0,NA,NA,"0.128","11",NA,NA,NA
"22877","2013 3rd international workshop on empirical requirements engineering, empire 2013  proceedings",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22878","revue francaise d'allergologie",NA,0,NA,NA,"0.128","8",NA,NA,NA
"22879","proceedings  4th international congress on image and signal processing, cisp 2011",NA,0,NA,NA,"0.128","8",NA,NA,NA
"22880","anuario de psicologia",NA,0,NA,NA,"0.128","11",NA,NA,NA
"22881","ieee international conference on semiconductor electronics, proceedings, icse",NA,0,NA,NA,"0.128","10",NA,NA,NA
"22882","ieee iwem 2013  2013 ieee international workshop on electromagnetics: applications and student innovation competition",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22883","superficies y vacio",NA,0,NA,NA,"0.128","4",NA,NA,NA
"22884","open toxicology journal",NA,0,NA,NA,"0.128","5",NA,NA,NA
"22885","proceedings  2014 international conference on information science, electronics and electrical engineering, iseee 2014",NA,0,NA,NA,"0.128","4",NA,NA,NA
"22886","proceedings  2013 5th international conference on intelligent humanmachine systems and cybernetics, ihmsc 2013",NA,0,NA,NA,"0.128","9",NA,NA,NA
"22887","revista chilena de obstetricia y ginecologia",NA,0,NA,NA,"0.128","9",NA,NA,NA
"22888","acta crystallographica section e: crystallographic communications",NA,0,NA,NA,"0.128","6",NA,NA,NA
"22889","praktische tierarzt",NA,0,NA,NA,"0.128","15",NA,NA,NA
"22890","lecture notes in energy",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22891","international medical journal",NA,0,NA,NA,"0.128","12",NA,NA,NA
"22892","a|z itu journal of faculty of architecture",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22893","cleo: qels  fundamental science, cleo_qels 2015",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22894","proceedings of 2014 9th ieee international conference on computer engineering and systems, icces 2014",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22895","current writing",NA,0,NA,NA,"0.128","1",NA,NA,NA
"22896","12th acm/ieee international conference on methods and models for system design, memocode 2014",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22897","2014 11th ieee/ias international conference on industry applications, ieee induscon 2014  electronic proceedings",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22898","digest of technical papers  innotek 2014: 2014 ieee innovations in technology conference",NA,0,NA,NA,"0.128","2",NA,NA,NA
"22899","supercritical fluid science and technology",NA,0,NA,NA,"0.128","3",NA,NA,NA
"22900","international journal of comadem",NA,0,NA,NA,"0.128","9",NA,NA,NA
"22901","applied environmental education and communication",NA,0,NA,NA,"0.128","13",NA,NA,NA
"22902","research journal of phytochemistry",NA,0,NA,NA,"0.128","11",NA,NA,NA
"22903","psychiatrie",NA,0,NA,NA,"0.127","9",NA,NA,NA
"22904","numismatic chronicle",NA,0,NA,NA,"0.127","6",NA,NA,NA
"22905","2014 ieee international interdisciplinary conference on cognitive methods in situation awareness and decision support, cogsima 2014",NA,0,NA,NA,"0.127","4",NA,NA,NA
"22906","mineralogia",NA,0,NA,NA,"0.127","5",NA,NA,NA
"22907","proceedings of the 3rd acm sigspatial international workshop on the use of gis in public health, healthgis 2014  in conjuncture with the 22nd acm sigspatial international conference on advances in geographic information systems, acm gis 2014",NA,0,NA,NA,"0.127","2",NA,NA,NA
"22908","neural, parallel and scientific computations",NA,0,NA,NA,"0.127","9",NA,NA,NA
"22909","2013 ehealth and bioengineering conference, ehb 2013",NA,0,NA,NA,"0.127","7",NA,NA,NA
"22910","proceedings  icpere 2014: 2nd ieee conference on power engineering and renewable energy 2014",NA,0,NA,NA,"0.127","2",NA,NA,NA
"22911","2013 4th international conference on computing, communications and networking technologies, icccnt 2013",NA,0,NA,NA,"0.127","6",NA,NA,NA
"22912","international conference on industrial logistics, icil 2014  conference proceedings",NA,0,NA,NA,"0.127","3",NA,NA,NA
"22913","proceedings of the 4th interdisciplinary engineering design education conference, iedec 2014",NA,0,NA,NA,"0.127","3",NA,NA,NA
"22914","international journal of pharmaceutical and clinical research",NA,0,NA,NA,"0.127","5",NA,NA,NA
"22915","intralinea",NA,0,NA,NA,"0.127","1",NA,NA,NA
"22916","proceedings of the 9th workshop on embedded systems security, wess 2014",NA,0,NA,NA,"0.127","2",NA,NA,NA
